CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.441406 1570339691.5512
MEM 18.070312 1570339691.6559
MEM 31.425781 1570339691.7587
CHLD 0 6.558594 1570339691.7626
CHLD 1 4.960938 1570339691.7626
CHLD 2 3.804688 1570339691.7626
CHLD 3 1.214844 1570339691.7626
CHLD 4 0.074219 1570339691.7626
MEM 31.457031 1570339691.8644
CHLD 0 14.386719 1570339691.8674
CHLD 1 13.507812 1570339691.8674
CHLD 2 13.531250 1570339691.8674
CHLD 3 13.003906 1570339691.8674
CHLD 4 14.726562 1570339691.8674
CHLD 5 13.046875 1570339691.8674
CHLD 6 13.328125 1570339691.8674
CHLD 7 12.214844 1570339691.8674
CHLD 8 12.195312 1570339691.8674
MEM 31.457031 1570339691.9691
CHLD 0 19.644531 1570339691.9721
CHLD 1 20.839844 1570339691.9721
CHLD 2 19.402344 1570339691.9721
CHLD 3 18.285156 1570339691.9721
CHLD 4 19.417969 1570339691.9721
CHLD 5 19.457031 1570339691.9721
CHLD 6 18.296875 1570339691.9721
CHLD 7 18.597656 1570339691.9721
CHLD 8 16.855469 1570339691.9721
MEM 31.457031 1570339692.0738
CHLD 0 27.773438 1570339692.0778
CHLD 1 28.027344 1570339692.0778
CHLD 2 28.023438 1570339692.0778
CHLD 3 27.417969 1570339692.0778
CHLD 4 27.957031 1570339692.0778
CHLD 5 27.617188 1570339692.0778
CHLD 6 27.132812 1570339692.0778
CHLD 7 27.320312 1570339692.0778
CHLD 8 26.011719 1570339692.0778
MEM 31.457031 1570339692.1780
CHLD 0 31.585938 1570339692.1810
CHLD 1 47.507812 1570339692.1810
CHLD 2 43.972656 1570339692.1810
CHLD 3 183.906250 1570339692.1810
CHLD 4 107.898438 1570339692.1810
CHLD 5 31.546875 1570339692.1810
CHLD 6 31.574219 1570339692.1810
CHLD 7 31.429688 1570339692.1810
CHLD 8 29.164062 1570339692.1810
MEM 31.457031 1570339692.2820
CHLD 0 31.585938 1570339692.2849
CHLD 1 75.109375 1570339692.2849
CHLD 2 45.066406 1570339692.2849
CHLD 3 231.519531 1570339692.2849
CHLD 4 168.476562 1570339692.2849
CHLD 5 31.546875 1570339692.2849
CHLD 6 31.574219 1570339692.2849
CHLD 7 31.429688 1570339692.2849
CHLD 8 43.121094 1570339692.2849
MEM 31.457031 1570339692.3857
CHLD 0 31.585938 1570339692.3887
CHLD 1 95.265625 1570339692.3887
CHLD 2 46.015625 1570339692.3887
CHLD 3 300.371094 1570339692.3887
CHLD 4 121.445312 1570339692.3887
CHLD 5 31.546875 1570339692.3887
CHLD 6 31.574219 1570339692.3887
CHLD 7 31.429688 1570339692.3887
CHLD 8 44.195312 1570339692.3887
MEM 31.457031 1570339692.4894
CHLD 0 31.585938 1570339692.4934
CHLD 1 113.769531 1570339692.4934
CHLD 2 46.902344 1570339692.4934
CHLD 3 188.101562 1570339692.4934
CHLD 4 141.281250 1570339692.4934
CHLD 5 31.546875 1570339692.4934
CHLD 6 31.574219 1570339692.4934
CHLD 7 31.429688 1570339692.4934
CHLD 8 45.144531 1570339692.4934
MEM 31.457031 1570339692.5941
CHLD 0 31.585938 1570339692.5971
CHLD 1 117.855469 1570339692.5971
CHLD 2 47.789062 1570339692.5971
CHLD 3 210.769531 1570339692.5971
CHLD 4 157.156250 1570339692.5971
CHLD 5 31.546875 1570339692.5971
CHLD 6 31.574219 1570339692.5971
CHLD 7 31.429688 1570339692.5971
CHLD 8 46.285156 1570339692.5971
MEM 31.457031 1570339692.6978
CHLD 0 31.585938 1570339692.7008
CHLD 1 118.855469 1570339692.7008
CHLD 2 48.687500 1570339692.7008
CHLD 3 227.058594 1570339692.7008
CHLD 4 177.867188 1570339692.7008
CHLD 5 31.546875 1570339692.7008
CHLD 6 31.574219 1570339692.7008
CHLD 7 31.429688 1570339692.7008
CHLD 8 47.234375 1570339692.7008
MEM 31.457031 1570339692.8016
CHLD 0 31.585938 1570339692.8046
CHLD 1 119.792969 1570339692.8046
CHLD 2 49.656250 1570339692.8046
CHLD 3 245.453125 1570339692.8046
CHLD 4 194.042969 1570339692.8046
CHLD 5 31.546875 1570339692.8046
CHLD 6 31.574219 1570339692.8046
CHLD 7 31.429688 1570339692.8046
CHLD 8 48.148438 1570339692.8046
MEM 31.457031 1570339692.9053
CHLD 0 31.585938 1570339692.9083
CHLD 1 120.726562 1570339692.9083
CHLD 2 50.859375 1570339692.9083
CHLD 3 262.835938 1570339692.9083
CHLD 4 211.789062 1570339692.9083
CHLD 5 31.546875 1570339692.9083
CHLD 6 31.574219 1570339692.9083
CHLD 7 31.429688 1570339692.9083
CHLD 8 49.101562 1570339692.9083
MEM 31.457031 1570339693.0090
CHLD 0 31.585938 1570339693.0120
CHLD 1 121.695312 1570339693.0120
CHLD 2 51.746094 1570339693.0120
CHLD 3 277.968750 1570339693.0120
CHLD 4 238.816406 1570339693.0120
CHLD 5 31.546875 1570339693.0120
CHLD 6 31.574219 1570339693.0120
CHLD 7 31.429688 1570339693.0120
CHLD 8 50.304688 1570339693.0120
MEM 31.457031 1570339693.1127
CHLD 0 31.585938 1570339693.1157
CHLD 1 122.667969 1570339693.1157
CHLD 2 52.695312 1570339693.1157
CHLD 3 298.222656 1570339693.1157
CHLD 4 250.890625 1570339693.1157
CHLD 5 31.546875 1570339693.1157
CHLD 6 31.574219 1570339693.1157
CHLD 7 31.429688 1570339693.1157
CHLD 8 51.183594 1570339693.1157
MEM 31.457031 1570339693.2284
CHLD 0 31.585938 1570339693.2384
CHLD 1 123.667969 1570339693.2384
CHLD 2 53.574219 1570339693.2384
CHLD 3 322.750000 1570339693.2384
CHLD 4 278.281250 1570339693.2384
CHLD 5 31.554688 1570339693.2384
CHLD 6 41.765625 1570339693.2384
CHLD 7 31.437500 1570339693.2384
CHLD 8 52.394531 1570339693.2384
MEM 31.457031 1570339693.3481
CHLD 0 31.585938 1570339693.3511
CHLD 1 124.542969 1570339693.3511
CHLD 2 54.792969 1570339693.3521
CHLD 3 329.503906 1570339693.3521
CHLD 4 291.992188 1570339693.3521
CHLD 5 31.554688 1570339693.3521
CHLD 6 44.230469 1570339693.3521
CHLD 7 31.437500 1570339693.3521
CHLD 8 53.289062 1570339693.3521
MEM 31.457031 1570339693.4857
CHLD 0 31.585938 1570339693.4887
CHLD 1 125.437500 1570339693.4887
CHLD 2 55.996094 1570339693.4887
CHLD 3 366.269531 1570339693.4887
CHLD 4 323.210938 1570339693.4887
CHLD 5 31.554688 1570339693.4887
CHLD 6 45.425781 1570339693.4887
CHLD 7 31.437500 1570339693.4887
CHLD 8 54.554688 1570339693.4887
MEM 31.457031 1570339693.5905
CHLD 0 31.585938 1570339693.5935
CHLD 1 126.167969 1570339693.5935
CHLD 2 56.625000 1570339693.5935
CHLD 3 366.269531 1570339693.5935
CHLD 4 329.636719 1570339693.5935
CHLD 5 31.554688 1570339693.5935
CHLD 6 46.636719 1570339693.5935
CHLD 7 31.437500 1570339693.5935
CHLD 8 55.500000 1570339693.5935
MEM 31.457031 1570339693.7261
CHLD 0 31.585938 1570339693.7291
CHLD 1 127.355469 1570339693.7291
CHLD 2 57.847656 1570339693.7291
CHLD 3 403.523438 1570339693.7291
CHLD 4 366.527344 1570339693.7291
CHLD 5 31.554688 1570339693.7291
CHLD 6 47.839844 1570339693.7291
CHLD 7 31.437500 1570339693.7291
CHLD 8 57.019531 1570339693.7291
MEM 31.457031 1570339693.8308
CHLD 0 31.585938 1570339693.8348
CHLD 1 128.292969 1570339693.8348
CHLD 2 58.789062 1570339693.8348
CHLD 3 413.289062 1570339693.8348
CHLD 4 381.929688 1570339693.8348
CHLD 5 31.554688 1570339693.8348
CHLD 6 48.714844 1570339693.8348
CHLD 7 31.437500 1570339693.8348
CHLD 8 57.968750 1570339693.8348
MEM 31.457031 1570339693.9690
CHLD 0 31.585938 1570339693.9720
CHLD 1 129.468750 1570339693.9720
CHLD 2 59.992188 1570339693.9720
CHLD 3 429.773438 1570339693.9720
CHLD 4 400.691406 1570339693.9720
CHLD 5 31.554688 1570339693.9720
CHLD 6 49.675781 1570339693.9720
CHLD 7 31.437500 1570339693.9720
CHLD 8 59.171875 1570339693.9720
MEM 31.457031 1570339694.1051
CHLD 0 31.585938 1570339694.1081
CHLD 1 130.675781 1570339694.1081
CHLD 2 61.191406 1570339694.1081
CHLD 3 466.917969 1570339694.1081
CHLD 4 437.410156 1570339694.1081
CHLD 5 31.554688 1570339694.1081
CHLD 6 50.878906 1570339694.1081
CHLD 7 31.437500 1570339694.1081
CHLD 8 60.437500 1570339694.1081
MEM 31.457031 1570339694.2477
CHLD 0 31.585938 1570339694.2507
CHLD 1 131.855469 1570339694.2507
CHLD 2 62.410156 1570339694.2507
CHLD 3 471.316406 1570339694.2507
CHLD 4 451.308594 1570339694.2507
CHLD 5 31.554688 1570339694.2507
CHLD 6 52.398438 1570339694.2507
CHLD 7 31.437500 1570339694.2507
CHLD 8 61.605469 1570339694.2507
MEM 31.457031 1570339694.3539
CHLD 0 31.585938 1570339694.3569
CHLD 1 132.730469 1570339694.3569
CHLD 2 63.347656 1570339694.3569
CHLD 3 478.386719 1570339694.3569
CHLD 4 454.886719 1570339694.3569
CHLD 5 31.554688 1570339694.3569
CHLD 6 53.304688 1570339694.3569
CHLD 7 31.437500 1570339694.3569
CHLD 8 62.589844 1570339694.3569
MEM 31.457031 1570339694.4841
CHLD 0 31.585938 1570339694.4871
CHLD 1 133.917969 1570339694.4871
CHLD 2 64.550781 1570339694.4871
CHLD 3 516.902344 1570339694.4871
CHLD 4 490.722656 1570339694.4871
CHLD 5 31.554688 1570339694.4871
CHLD 6 54.511719 1570339694.4871
CHLD 7 31.437500 1570339694.4871
CHLD 8 63.792969 1570339694.4871
MEM 31.457031 1570339694.5888
CHLD 0 31.585938 1570339694.5918
CHLD 1 134.855469 1570339694.5918
CHLD 2 65.441406 1570339694.5918
CHLD 3 546.609375 1570339694.5918
CHLD 4 427.078125 1570339694.5918
CHLD 5 31.554688 1570339694.5918
CHLD 6 55.433594 1570339694.5918
CHLD 7 31.437500 1570339694.5918
CHLD 8 64.996094 1570339694.5918
MEM 31.457031 1570339694.7240
CHLD 0 31.585938 1570339694.7270
CHLD 1 135.718750 1570339694.7270
CHLD 2 66.386719 1570339694.7270
CHLD 3 546.671875 1570339694.7270
CHLD 4 428.332031 1570339694.7270
CHLD 5 31.554688 1570339694.7270
CHLD 6 56.488281 1570339694.7270
CHLD 7 61.367188 1570339694.7270
CHLD 8 66.164062 1570339694.7270
MEM 31.457031 1570339694.8357
CHLD 0 31.585938 1570339694.8387
CHLD 1 136.355469 1570339694.8387
CHLD 2 66.984375 1570339694.8387
CHLD 3 559.425781 1570339694.8387
CHLD 4 429.371094 1570339694.8387
CHLD 5 31.554688 1570339694.8387
CHLD 6 57.375000 1570339694.8387
CHLD 7 75.875000 1570339694.8387
CHLD 8 67.148438 1570339694.8387
MEM 31.457031 1570339694.9723
CHLD 0 31.585938 1570339694.9753
CHLD 1 137.199219 1570339694.9753
CHLD 2 67.906250 1570339694.9753
CHLD 3 597.570312 1570339694.9753
CHLD 4 430.703125 1570339694.9753
CHLD 5 31.554688 1570339694.9753
CHLD 6 58.261719 1570339694.9753
CHLD 7 96.859375 1570339694.9753
CHLD 8 68.605469 1570339694.9753
MEM 31.457031 1570339695.1090
CHLD 0 31.585938 1570339695.1120
CHLD 1 138.039062 1570339695.1120
CHLD 2 68.531250 1570339695.1120
CHLD 3 621.144531 1570339695.1120
CHLD 4 431.953125 1570339695.1120
CHLD 5 116.398438 1570339695.1120
CHLD 6 59.449219 1570339695.1120
CHLD 7 112.609375 1570339695.1120
CHLD 8 69.871094 1570339695.1120
MEM 31.457031 1570339695.2526
CHLD 0 31.585938 1570339695.2566
CHLD 1 138.601562 1570339695.2566
CHLD 2 69.171875 1570339695.2566
CHLD 3 637.210938 1570339695.2566
CHLD 4 432.636719 1570339695.2566
CHLD 5 96.597656 1570339695.2566
