CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.292969 1570391985.2695
MEM 17.101562 1570391985.3744
MEM 30.230469 1570391985.4781
MEM 31.542969 1570391985.5819
CHLD 0 15.476562 1570391985.5849
CHLD 1 15.085938 1570391985.5849
CHLD 2 14.816406 1570391985.5849
MEM 31.542969 1570391985.6856
CHLD 0 26.453125 1570391985.6886
CHLD 1 26.011719 1570391985.6886
CHLD 2 26.039062 1570391985.6886
MEM 31.542969 1570391985.7893
CHLD 0 31.671875 1570391985.7923
CHLD 1 31.496094 1570391985.7923
CHLD 2 31.464844 1570391985.7923
MEM 31.542969 1570391985.8931
CHLD 0 31.671875 1570391985.8961
CHLD 1 31.496094 1570391985.8961
CHLD 2 31.464844 1570391985.8961
MEM 31.542969 1570391985.9968
CHLD 0 31.671875 1570391985.9998
CHLD 1 31.496094 1570391985.9998
CHLD 2 31.464844 1570391985.9998
MEM 31.542969 1570391986.1005
CHLD 0 31.671875 1570391986.1035
CHLD 1 31.496094 1570391986.1035
CHLD 2 31.464844 1570391986.1035
MEM 31.542969 1570391986.2042
CHLD 0 31.671875 1570391986.2072
CHLD 1 31.496094 1570391986.2072
CHLD 2 31.464844 1570391986.2072
MEM 31.542969 1570391986.3080
CHLD 0 31.671875 1570391986.3120
CHLD 1 31.496094 1570391986.3120
CHLD 2 31.464844 1570391986.3120
MEM 31.542969 1570391986.4127
CHLD 0 31.671875 1570391986.4157
CHLD 1 31.496094 1570391986.4157
CHLD 2 31.464844 1570391986.4157
MEM 31.542969 1570391986.5165
CHLD 0 31.671875 1570391986.5195
CHLD 1 31.496094 1570391986.5195
CHLD 2 31.464844 1570391986.5195
MEM 31.542969 1570391986.6202
CHLD 0 31.671875 1570391986.6232
CHLD 1 31.496094 1570391986.6232
CHLD 2 31.464844 1570391986.6232
MEM 31.542969 1570391986.7239
CHLD 0 31.671875 1570391986.7269
CHLD 1 31.496094 1570391986.7269
CHLD 2 31.464844 1570391986.7269
MEM 31.542969 1570391986.8271
CHLD 0 31.671875 1570391986.8301
CHLD 1 31.496094 1570391986.8301
CHLD 2 31.464844 1570391986.8301
MEM 31.542969 1570391986.9310
CHLD 0 31.671875 1570391986.9340
CHLD 1 31.496094 1570391986.9340
CHLD 2 31.464844 1570391986.9340
MEM 31.542969 1570391987.0342
CHLD 0 31.671875 1570391987.0372
CHLD 1 31.496094 1570391987.0372
CHLD 2 31.464844 1570391987.0372
MEM 31.542969 1570391987.1379
CHLD 0 31.671875 1570391987.1409
CHLD 1 31.496094 1570391987.1409
CHLD 2 31.464844 1570391987.1409
MEM 31.542969 1570391987.2417
CHLD 0 31.671875 1570391987.2447
CHLD 1 31.496094 1570391987.2447
CHLD 2 31.464844 1570391987.2447
MEM 31.542969 1570391987.3455
CHLD 0 31.671875 1570391987.3484
CHLD 1 31.496094 1570391987.3484
CHLD 2 31.464844 1570391987.3484
MEM 31.542969 1570391987.4487
CHLD 0 31.671875 1570391987.4517
CHLD 1 31.496094 1570391987.4517
CHLD 2 31.464844 1570391987.4517
MEM 31.542969 1570391987.5526
CHLD 0 31.671875 1570391987.5556
CHLD 1 31.496094 1570391987.5556
CHLD 2 31.464844 1570391987.5556
MEM 31.542969 1570391987.6563
CHLD 0 31.671875 1570391987.6593
CHLD 1 31.496094 1570391987.6593
CHLD 2 31.464844 1570391987.6593
MEM 31.542969 1570391987.7601
CHLD 0 31.671875 1570391987.7630
CHLD 1 31.496094 1570391987.7630
CHLD 2 31.464844 1570391987.7630
MEM 31.542969 1570391987.8638
CHLD 0 31.671875 1570391987.8668
CHLD 1 31.496094 1570391987.8668
CHLD 2 31.464844 1570391987.8668
MEM 31.542969 1570391987.9675
CHLD 0 31.671875 1570391987.9705
CHLD 1 31.496094 1570391987.9705
CHLD 2 31.464844 1570391987.9705
MEM 31.542969 1570391988.0712
CHLD 0 31.671875 1570391988.0742
CHLD 1 31.496094 1570391988.0742
CHLD 2 31.464844 1570391988.0742
MEM 31.542969 1570391988.1749
CHLD 0 31.671875 1570391988.1779
CHLD 1 31.496094 1570391988.1779
