CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.812500 1570337986.8913
MEM 18.007812 1570337986.9952
MEM 31.375000 1570337987.0979
CHLD 0 3.667969 1570337987.1019
CHLD 1 1.648438 1570337987.1019
MEM 31.406250 1570337987.2076
CHLD 0 13.402344 1570337987.2106
CHLD 1 13.027344 1570337987.2106
CHLD 2 13.378906 1570337987.2106
CHLD 3 13.429688 1570337987.2106
CHLD 4 12.496094 1570337987.2106
CHLD 5 13.347656 1570337987.2106
CHLD 6 13.000000 1570337987.2106
CHLD 7 12.187500 1570337987.2106
CHLD 8 12.261719 1570337987.2106
MEM 31.406250 1570337987.3123
CHLD 0 18.855469 1570337987.3173
CHLD 1 19.761719 1570337987.3173
CHLD 2 18.308594 1570337987.3173
CHLD 3 18.781250 1570337987.3173
CHLD 4 18.308594 1570337987.3173
CHLD 5 19.703125 1570337987.3173
CHLD 6 20.218750 1570337987.3173
CHLD 7 17.882812 1570337987.3173
CHLD 8 18.648438 1570337987.3173
MEM 31.406250 1570337987.4186
CHLD 0 27.574219 1570337987.4236
CHLD 1 29.085938 1570337987.4236
CHLD 2 26.425781 1570337987.4236
CHLD 3 28.066406 1570337987.4236
CHLD 4 26.445312 1570337987.4236
CHLD 5 28.140625 1570337987.4236
CHLD 6 27.621094 1570337987.4236
CHLD 7 27.675781 1570337987.4236
CHLD 8 27.695312 1570337987.4236
MEM 31.406250 1570337987.5243
CHLD 0 31.667969 1570337987.5273
CHLD 1 42.667969 1570337987.5273
CHLD 2 100.058594 1570337987.5273
CHLD 3 52.652344 1570337987.5273
CHLD 4 55.738281 1570337987.5273
CHLD 5 31.644531 1570337987.5273
CHLD 6 31.453125 1570337987.5273
CHLD 7 31.496094 1570337987.5273
CHLD 8 31.468750 1570337987.5273
MEM 31.406250 1570337987.6281
CHLD 0 31.667969 1570337987.6311
CHLD 1 43.605469 1570337987.6311
CHLD 2 165.734375 1570337987.6311
CHLD 3 74.835938 1570337987.6311
CHLD 4 219.707031 1570337987.6311
CHLD 5 31.644531 1570337987.6311
CHLD 6 31.453125 1570337987.6311
CHLD 7 31.496094 1570337987.6311
CHLD 8 31.468750 1570337987.6311
MEM 31.406250 1570337987.7318
