CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.566406 1570335592.7462
MEM 18.285156 1570335592.8500
MEM 30.738281 1570335592.9530
MEM 31.347656 1570335593.0567
CHLD 0 12.156250 1570335593.0607
CHLD 1 12.183594 1570335593.0607
CHLD 2 12.171875 1570335593.0607
CHLD 3 11.167969 1570335593.0607
CHLD 4 12.406250 1570335593.0607
CHLD 5 11.035156 1570335593.0607
CHLD 6 11.269531 1570335593.0607
CHLD 7 11.265625 1570335593.0607
CHLD 8 11.289062 1570335593.0607
MEM 31.347656 1570335593.1624
CHLD 0 19.015625 1570335593.1654
CHLD 1 19.105469 1570335593.1654
CHLD 2 18.410156 1570335593.1654
CHLD 3 16.843750 1570335593.1654
CHLD 4 18.648438 1570335593.1654
CHLD 5 17.375000 1570335593.1654
CHLD 6 18.808594 1570335593.1654
CHLD 7 17.773438 1570335593.1654
CHLD 8 18.089844 1570335593.1664
MEM 31.347656 1570335593.2672
CHLD 0 27.929688 1570335593.2711
CHLD 1 27.597656 1570335593.2711
CHLD 2 27.601562 1570335593.2711
CHLD 3 25.671875 1570335593.2711
CHLD 4 26.406250 1570335593.2711
CHLD 5 26.972656 1570335593.2711
CHLD 6 28.437500 1570335593.2711
CHLD 7 25.843750 1570335593.2711
CHLD 8 26.488281 1570335593.2711
MEM 31.347656 1570335593.3923
CHLD 0 31.519531 1570335593.3953
CHLD 1 47.730469 1570335593.3953
CHLD 2 109.660156 1570335593.3953
CHLD 3 105.128906 1570335593.3953
CHLD 4 40.851562 1570335593.3953
CHLD 5 40.347656 1570335593.3953
CHLD 6 31.507812 1570335593.3953
CHLD 7 31.175781 1570335593.3953
CHLD 8 44.933594 1570335593.3953
MEM 31.347656 1570335593.5080
CHLD 0 31.519531 1570335593.5110
CHLD 1 73.832031 1570335593.5110
CHLD 2 103.671875 1570335593.5110
CHLD 3 211.515625 1570335593.5110
CHLD 4 41.601562 1570335593.5110
CHLD 5 41.542969 1570335593.5110
CHLD 6 31.507812 1570335593.5110
CHLD 7 127.757812 1570335593.5110
CHLD 8 63.003906 1570335593.5110
MEM 31.347656 1570335593.6302
CHLD 0 31.519531 1570335593.6332
CHLD 1 95.191406 1570335593.6332
CHLD 2 129.269531 1570335593.6332
CHLD 3 270.531250 1570335593.6332
CHLD 4 42.476562 1570335593.6332
CHLD 5 42.730469 1570335593.6332
CHLD 6 31.507812 1570335593.6332
CHLD 7 100.906250 1570335593.6332
CHLD 8 82.671875 1570335593.6332
MEM 31.347656 1570335593.7499
CHLD 0 31.519531 1570335593.7529
CHLD 1 96.351562 1570335593.7529
CHLD 2 151.101562 1570335593.7529
CHLD 3 325.804688 1570335593.7529
CHLD 4 43.285156 1570335593.7529
CHLD 5 43.917969 1570335593.7529
CHLD 6 31.507812 1570335593.7529
CHLD 7 117.792969 1570335593.7529
CHLD 8 89.488281 1570335593.7529
MEM 31.347656 1570335593.8641
CHLD 0 31.519531 1570335593.8671
CHLD 1 97.539062 1570335593.8671
CHLD 2 169.554688 1570335593.8671
CHLD 3 193.773438 1570335593.8671
CHLD 4 43.992188 1570335593.8671
CHLD 5 45.042969 1570335593.8671
CHLD 6 31.507812 1570335593.8671
CHLD 7 133.117188 1570335593.8671
CHLD 8 90.175781 1570335593.8671
MEM 31.347656 1570335593.9918
CHLD 0 31.519531 1570335593.9943
CHLD 1 98.851562 1570335593.9943
CHLD 2 190.039062 1570335593.9943
CHLD 3 213.671875 1570335593.9943
CHLD 4 44.945312 1570335593.9943
CHLD 5 46.355469 1570335593.9943
CHLD 6 31.507812 1570335593.9943
CHLD 7 148.996094 1570335593.9943
CHLD 8 91.050781 1570335593.9943
MEM 31.347656 1570335594.1159
CHLD 0 31.519531 1570335594.1179
CHLD 1 100.101562 1570335594.1189
CHLD 2 212.234375 1570335594.1189
CHLD 3 226.550781 1570335594.1189
CHLD 4 45.757812 1570335594.1189
CHLD 5 47.574219 1570335594.1189
CHLD 6 31.507812 1570335594.1189
CHLD 7 160.996094 1570335594.1189
CHLD 8 92.050781 1570335594.1189
MEM 31.347656 1570335594.2491
CHLD 0 31.519531 1570335594.2521
CHLD 1 101.468750 1570335594.2521
CHLD 2 242.765625 1570335594.2521
CHLD 3 241.585938 1570335594.2521
CHLD 4 46.757812 1570335594.2521
CHLD 5 48.824219 1570335594.2521
CHLD 6 31.507812 1570335594.2521
CHLD 7 179.554688 1570335594.2521
CHLD 8 92.988281 1570335594.2521
MEM 31.347656 1570335594.3862
CHLD 0 31.519531 1570335594.3882
CHLD 1 102.695312 1570335594.3882
CHLD 2 264.656250 1570335594.3882
CHLD 3 256.777344 1570335594.3882
CHLD 4 47.507812 1570335594.3882
CHLD 5 50.074219 1570335594.3882
CHLD 6 152.066406 1570335594.3882
CHLD 7 200.863281 1570335594.3882
CHLD 8 93.988281 1570335594.3882
MEM 31.347656 1570335594.5189
CHLD 0 31.519531 1570335594.5219
CHLD 1 104.039062 1570335594.5219
CHLD 2 281.042969 1570335594.5219
CHLD 3 273.539062 1570335594.5219
CHLD 4 48.308594 1570335594.5219
CHLD 5 51.386719 1570335594.5219
CHLD 6 195.566406 1570335594.5219
CHLD 7 212.121094 1570335594.5219
CHLD 8 94.589844 1570335594.5219
MEM 31.347656 1570335594.6540
CHLD 0 31.519531 1570335594.6570
CHLD 1 105.414062 1570335594.6570
CHLD 2 318.652344 1570335594.6570
CHLD 3 286.972656 1570335594.6570
CHLD 4 49.015625 1570335594.6570
CHLD 5 52.718750 1570335594.6570
CHLD 6 250.941406 1570335594.6570
CHLD 7 231.277344 1570335594.6570
CHLD 8 95.488281 1570335594.6570
MEM 31.347656 1570335594.7872
CHLD 0 31.519531 1570335594.7892
CHLD 1 106.789062 1570335594.7892
CHLD 2 327.593750 1570335594.7892
CHLD 3 298.414062 1570335594.7892
CHLD 4 49.882812 1570335594.7892
CHLD 5 54.085938 1570335594.7892
CHLD 6 156.347656 1570335594.7892
CHLD 7 236.781250 1570335594.7892
CHLD 8 96.238281 1570335594.7902
MEM 31.347656 1570335594.9243
CHLD 0 31.519531 1570335594.9273
CHLD 1 108.175781 1570335594.9273
CHLD 2 365.261719 1570335594.9273
CHLD 3 312.792969 1570335594.9273
CHLD 4 50.449219 1570335594.9273
CHLD 5 55.414062 1570335594.9273
CHLD 6 174.113281 1570335594.9273
CHLD 7 256.890625 1570335594.9273
CHLD 8 97.050781 1570335594.9273
MEM 31.347656 1570335595.0599
CHLD 0 31.519531 1570335595.0629
CHLD 1 109.601562 1570335595.0629
CHLD 2 382.027344 1570335595.0629
CHLD 3 327.488281 1570335595.0629
CHLD 4 51.269531 1570335595.0629
CHLD 5 56.761719 1570335595.0629
CHLD 6 185.375000 1570335595.0629
CHLD 7 268.363281 1570335595.0629
CHLD 8 97.800781 1570335595.0629
MEM 31.347656 1570335595.1941
CHLD 0 31.519531 1570335595.1971
CHLD 1 110.914062 1570335595.1971
CHLD 2 403.796875 1570335595.1971
CHLD 3 327.488281 1570335595.1971
CHLD 4 52.000000 1570335595.1971
CHLD 5 57.976562 1570335595.1971
CHLD 6 203.449219 1570335595.1971
CHLD 7 275.875000 1570335595.1971
CHLD 8 98.484375 1570335595.1971
MEM 31.347656 1570335595.3252
CHLD 0 31.519531 1570335595.3282
CHLD 1 112.289062 1570335595.3282
CHLD 2 440.023438 1570335595.3282
CHLD 3 349.429688 1570335595.3282
