CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.839844 1570339730.7860
MEM 18.082031 1570339730.8901
MEM 31.355469 1570339730.9937
CHLD 0 6.945312 1570339730.9977
CHLD 1 6.679688 1570339730.9977
CHLD 2 5.250000 1570339730.9977
CHLD 3 3.394531 1570339730.9977
CHLD 4 0.074219 1570339730.9977
CHLD 5 0.074219 1570339730.9977
MEM 31.386719 1570339731.0984
CHLD 0 12.320312 1570339731.1014
CHLD 1 14.457031 1570339731.1014
CHLD 2 14.808594 1570339731.1014
CHLD 3 14.652344 1570339731.1014
CHLD 4 12.175781 1570339731.1014
CHLD 5 14.386719 1570339731.1014
CHLD 6 14.519531 1570339731.1014
CHLD 7 14.390625 1570339731.1014
CHLD 8 12.199219 1570339731.1014
MEM 31.386719 1570339731.2042
CHLD 0 18.062500 1570339731.2081
CHLD 1 20.035156 1570339731.2081
CHLD 2 19.144531 1570339731.2081
CHLD 3 19.757812 1570339731.2081
CHLD 4 17.250000 1570339731.2081
CHLD 5 18.976562 1570339731.2081
CHLD 6 20.101562 1570339731.2081
CHLD 7 22.093750 1570339731.2081
CHLD 8 18.632812 1570339731.2081
MEM 31.386719 1570339731.3108
CHLD 0 26.636719 1570339731.3178
CHLD 1 28.953125 1570339731.3178
CHLD 2 27.398438 1570339731.3178
CHLD 3 27.519531 1570339731.3178
CHLD 4 26.039062 1570339731.3178
CHLD 5 27.218750 1570339731.3178
CHLD 6 28.906250 1570339731.3178
CHLD 7 28.859375 1570339731.3178
CHLD 8 27.628906 1570339731.3178
MEM 31.386719 1570339731.4186
CHLD 0 31.523438 1570339731.4215
CHLD 1 50.617188 1570339731.4215
CHLD 2 53.070312 1570339731.4215
CHLD 3 124.550781 1570339731.4215
CHLD 4 183.500000 1570339731.4215
CHLD 5 31.097656 1570339731.4215
CHLD 6 31.097656 1570339731.4215
CHLD 7 31.175781 1570339731.4215
CHLD 8 31.136719 1570339731.4215
MEM 31.386719 1570339731.5223
CHLD 0 31.523438 1570339731.5253
CHLD 1 68.890625 1570339731.5253
CHLD 2 76.906250 1570339731.5253
CHLD 3 104.410156 1570339731.5253
CHLD 4 244.015625 1570339731.5253
CHLD 5 31.097656 1570339731.5253
CHLD 6 31.097656 1570339731.5253
CHLD 7 31.175781 1570339731.5253
CHLD 8 31.136719 1570339731.5253
MEM 31.386719 1570339731.6260
CHLD 0 31.523438 1570339731.6290
CHLD 1 86.914062 1570339731.6290
CHLD 2 98.039062 1570339731.6290
CHLD 3 126.789062 1570339731.6290
CHLD 4 312.285156 1570339731.6290
CHLD 5 31.097656 1570339731.6290
CHLD 6 31.097656 1570339731.6290
CHLD 7 31.175781 1570339731.6290
CHLD 8 31.136719 1570339731.6290
MEM 31.386719 1570339731.7296
CHLD 0 31.523438 1570339731.7326
CHLD 1 99.332031 1570339731.7326
CHLD 2 114.953125 1570339731.7326
CHLD 3 142.382812 1570339731.7326
CHLD 4 190.085938 1570339731.7326
CHLD 5 31.097656 1570339731.7326
CHLD 6 31.097656 1570339731.7326
CHLD 7 31.175781 1570339731.7326
CHLD 8 31.136719 1570339731.7326
MEM 31.386719 1570339731.8335
CHLD 0 31.523438 1570339731.8365
CHLD 1 117.636719 1570339731.8365
CHLD 2 125.804688 1570339731.8365
CHLD 3 164.011719 1570339731.8365
CHLD 4 213.414062 1570339731.8365
CHLD 5 31.097656 1570339731.8365
CHLD 6 31.097656 1570339731.8365
CHLD 7 31.175781 1570339731.8365
