CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.812500 1570337952.6879
MEM 17.761719 1570337952.7916
MEM 31.386719 1570337952.8949
CHLD 0 5.628906 1570337952.8989
CHLD 1 3.738281 1570337952.8989
CHLD 2 1.917969 1570337952.8989
MEM 31.417969 1570337953.0026
CHLD 0 15.312500 1570337953.0106
CHLD 1 13.386719 1570337953.0106
CHLD 2 13.589844 1570337953.0106
CHLD 3 13.234375 1570337953.0106
CHLD 4 14.628906 1570337953.0106
CHLD 5 14.972656 1570337953.0106
CHLD 6 14.746094 1570337953.0106
CHLD 7 13.023438 1570337953.0106
CHLD 8 12.203125 1570337953.0106
MEM 31.417969 1570337953.1118
CHLD 0 20.367188 1570337953.1158
CHLD 1 19.128906 1570337953.1158
CHLD 2 18.007812 1570337953.1158
CHLD 3 19.402344 1570337953.1158
CHLD 4 19.382812 1570337953.1158
CHLD 5 22.761719 1570337953.1158
CHLD 6 21.167969 1570337953.1158
CHLD 7 16.894531 1570337953.1158
CHLD 8 18.085938 1570337953.1158
MEM 31.417969 1570337953.2175
CHLD 0 29.132812 1570337953.2220
CHLD 1 27.609375 1570337953.2220
CHLD 2 26.507812 1570337953.2220
CHLD 3 26.644531 1570337953.2220
CHLD 4 26.457031 1570337953.2220
CHLD 5 28.089844 1570337953.2220
CHLD 6 29.250000 1570337953.2220
CHLD 7 22.105469 1570337953.2220
CHLD 8 26.410156 1570337953.2220
MEM 31.417969 1570337953.3308
CHLD 0 31.621094 1570337953.3367
CHLD 1 31.644531 1570337953.3367
CHLD 2 43.183594 1570337953.3367
CHLD 3 31.796875 1570337953.3367
CHLD 4 41.015625 1570337953.3367
CHLD 5 41.996094 1570337953.3367
CHLD 6 42.128906 1570337953.3367
CHLD 7 27.929688 1570337953.3367
CHLD 8 93.074219 1570337953.3367
MEM 31.417969 1570337953.4529
CHLD 0 31.621094 1570337953.4569
CHLD 1 105.292969 1570337953.4569
CHLD 2 64.628906 1570337953.4569
CHLD 3 31.882812 1570337953.4569
CHLD 4 43.242188 1570337953.4569
CHLD 5 186.593750 1570337953.4569
CHLD 6 43.148438 1570337953.4569
CHLD 7 28.312500 1570337953.4569
CHLD 8 94.062500 1570337953.4569
MEM 31.417969 1570337953.5606
CHLD 0 31.621094 1570337953.5636
CHLD 1 168.722656 1570337953.5636
CHLD 2 79.011719 1570337953.5636
