CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.429688 1570336512.8739
MEM 18.046875 1570336512.9771
MEM 26.410156 1570336513.0795
MEM 31.472656 1570336513.1842
CHLD 0 8.671875 1570336513.1872
CHLD 1 7.460938 1570336513.1872
CHLD 2 7.441406 1570336513.1872
CHLD 3 8.562500 1570336513.1872
CHLD 4 8.367188 1570336513.1872
CHLD 5 8.468750 1570336513.1872
CHLD 6 8.390625 1570336513.1872
CHLD 7 8.460938 1570336513.1872
CHLD 8 7.941406 1570336513.1872
MEM 31.472656 1570336513.2909
CHLD 0 16.113281 1570336513.2959
CHLD 1 13.023438 1570336513.2959
CHLD 2 14.964844 1570336513.2959
CHLD 3 16.859375 1570336513.2959
CHLD 4 15.773438 1570336513.2959
CHLD 5 15.656250 1570336513.2959
CHLD 6 16.863281 1570336513.2959
CHLD 7 16.882812 1570336513.2959
CHLD 8 15.792969 1570336513.2959
MEM 31.472656 1570336513.3961
CHLD 0 21.312500 1570336513.4001
CHLD 1 17.816406 1570336513.4001
CHLD 2 18.855469 1570336513.4001
CHLD 3 26.289062 1570336513.4001
CHLD 4 20.867188 1570336513.4001
CHLD 5 23.429688 1570336513.4001
CHLD 6 25.652344 1570336513.4001
CHLD 7 25.621094 1570336513.4001
CHLD 8 25.628906 1570336513.4001
MEM 31.472656 1570336513.5004
CHLD 0 30.421875 1570336513.5044
CHLD 1 26.187500 1570336513.5044
CHLD 2 26.617188 1570336513.5044
CHLD 3 31.507812 1570336513.5044
CHLD 4 28.628906 1570336513.5044
CHLD 5 31.199219 1570336513.5044
CHLD 6 31.496094 1570336513.5044
CHLD 7 31.199219 1570336513.5044
CHLD 8 31.484375 1570336513.5044
MEM 31.472656 1570336513.6051
CHLD 0 31.554688 1570336513.6071
CHLD 1 100.007812 1570336513.6071
CHLD 2 41.351562 1570336513.6071
CHLD 3 41.691406 1570336513.6071
CHLD 4 31.644531 1570336513.6071
CHLD 5 31.515625 1570336513.6071
CHLD 6 31.496094 1570336513.6071
CHLD 7 31.511719 1570336513.6071
CHLD 8 31.484375 1570336513.6071
MEM 31.472656 1570336513.7078
CHLD 0 31.554688 1570336513.7108
CHLD 1 100.007812 1570336513.7108
CHLD 2 49.757812 1570336513.7108
CHLD 3 42.628906 1570336513.7108
CHLD 4 184.140625 1570336513.7108
CHLD 5 31.515625 1570336513.7108
CHLD 6 31.496094 1570336513.7108
CHLD 7 31.511719 1570336513.7108
CHLD 8 31.484375 1570336513.7108
MEM 31.472656 1570336513.8110
CHLD 0 31.554688 1570336513.8140
CHLD 1 100.007812 1570336513.8140
CHLD 2 74.742188 1570336513.8140
CHLD 3 43.566406 1570336513.8140
CHLD 4 184.140625 1570336513.8140
CHLD 5 31.515625 1570336513.8140
CHLD 6 31.496094 1570336513.8140
CHLD 7 31.511719 1570336513.8140
CHLD 8 31.484375 1570336513.8140
MEM 31.472656 1570336513.9148
CHLD 0 31.554688 1570336513.9177
CHLD 1 100.007812 1570336513.9177
CHLD 2 95.820312 1570336513.9177
CHLD 3 44.566406 1570336513.9177
CHLD 4 184.140625 1570336513.9177
CHLD 5 31.515625 1570336513.9177
CHLD 6 31.496094 1570336513.9177
CHLD 7 31.511719 1570336513.9177
CHLD 8 31.484375 1570336513.9177
MEM 31.472656 1570336514.0183
CHLD 0 31.554688 1570336514.0203
CHLD 1 100.007812 1570336514.0203
CHLD 2 103.132812 1570336514.0203
CHLD 3 45.527344 1570336514.0203
CHLD 4 184.140625 1570336514.0203
CHLD 5 31.515625 1570336514.0203
CHLD 6 31.496094 1570336514.0203
CHLD 7 31.511719 1570336514.0203
CHLD 8 31.484375 1570336514.0203
MEM 31.472656 1570336514.1211
CHLD 0 31.554688 1570336514.1240
CHLD 1 109.972656 1570336514.1240
CHLD 2 104.222656 1570336514.1240
CHLD 3 46.507812 1570336514.1240
CHLD 4 184.140625 1570336514.1240
CHLD 5 31.515625 1570336514.1240
CHLD 6 31.496094 1570336514.1240
CHLD 7 31.511719 1570336514.1240
CHLD 8 31.484375 1570336514.1240
MEM 31.472656 1570336514.2248
CHLD 0 31.554688 1570336514.2278
CHLD 1 101.007812 1570336514.2278
CHLD 2 105.222656 1570336514.2278
CHLD 3 47.503906 1570336514.2278
CHLD 4 184.140625 1570336514.2278
CHLD 5 31.515625 1570336514.2278
CHLD 6 31.496094 1570336514.2278
CHLD 7 31.511719 1570336514.2278
CHLD 8 31.484375 1570336514.2278
MEM 31.472656 1570336514.3285
CHLD 0 31.554688 1570336514.3315
CHLD 1 123.375000 1570336514.3315
CHLD 2 106.285156 1570336514.3315
CHLD 3 48.503906 1570336514.3315
CHLD 4 184.140625 1570336514.3315
CHLD 5 31.515625 1570336514.3315
CHLD 6 31.496094 1570336514.3315
CHLD 7 31.511719 1570336514.3315
CHLD 8 31.484375 1570336514.3315
MEM 31.472656 1570336514.4323
CHLD 0 31.554688 1570336514.4353
CHLD 1 142.824219 1570336514.4353
CHLD 2 107.347656 1570336514.4353
CHLD 3 49.503906 1570336514.4353
CHLD 4 184.140625 1570336514.4353
CHLD 5 31.515625 1570336514.4353
CHLD 6 31.496094 1570336514.4353
CHLD 7 31.511719 1570336514.4353
CHLD 8 31.484375 1570336514.4353
MEM 31.472656 1570336514.5361
CHLD 0 31.554688 1570336514.5381
