CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.296875 1570338819.2861
MEM 18.007812 1570338819.3900
MEM 27.699219 1570338819.4929
MEM 31.390625 1570338819.5950
CHLD 0 10.925781 1570338819.5990
CHLD 1 11.312500 1570338819.5990
CHLD 2 10.632812 1570338819.5990
CHLD 3 9.039062 1570338819.5990
CHLD 4 10.652344 1570338819.5990
CHLD 5 9.730469 1570338819.5990
CHLD 6 11.214844 1570338819.5999
CHLD 7 10.203125 1570338819.5999
CHLD 8 10.703125 1570338819.5999
MEM 31.390625 1570338819.7107
CHLD 0 17.335938 1570338819.7207
CHLD 1 18.859375 1570338819.7207
CHLD 2 19.296875 1570338819.7207
CHLD 3 16.832031 1570338819.7207
CHLD 4 18.957031 1570338819.7207
CHLD 5 17.824219 1570338819.7207
CHLD 6 19.281250 1570338819.7207
CHLD 7 16.871094 1570338819.7207
CHLD 8 18.085938 1570338819.7207
MEM 31.390625 1570338819.8217
CHLD 0 25.718750 1570338819.8267
CHLD 1 27.707031 1570338819.8267
CHLD 2 26.421875 1570338819.8267
CHLD 3 20.851562 1570338819.8267
CHLD 4 27.609375 1570338819.8267
CHLD 5 25.425781 1570338819.8267
CHLD 6 27.929688 1570338819.8267
CHLD 7 25.160156 1570338819.8267
CHLD 8 27.562500 1570338819.8267
MEM 31.390625 1570338819.9270
CHLD 0 31.406250 1570338819.9310
CHLD 1 42.511719 1570338819.9310
CHLD 2 100.164062 1570338819.9310
CHLD 3 31.492188 1570338819.9310
CHLD 4 39.878906 1570338819.9310
CHLD 5 31.550781 1570338819.9310
CHLD 6 31.546875 1570338819.9310
CHLD 7 31.335938 1570338819.9310
CHLD 8 31.613281 1570338819.9310
MEM 31.390625 1570338820.0318
CHLD 0 31.425781 1570338820.0348
CHLD 1 44.750000 1570338820.0348
CHLD 2 100.164062 1570338820.0348
CHLD 3 184.031250 1570338820.0348
CHLD 4 43.726562 1570338820.0348
CHLD 5 31.550781 1570338820.0348
CHLD 6 31.546875 1570338820.0348
CHLD 7 41.425781 1570338820.0348
CHLD 8 31.613281 1570338820.0348
MEM 31.390625 1570338820.1355
CHLD 0 31.425781 1570338820.1385
CHLD 1 72.136719 1570338820.1385
CHLD 2 100.164062 1570338820.1385
CHLD 3 184.031250 1570338820.1385
CHLD 4 44.875000 1570338820.1385
CHLD 5 31.550781 1570338820.1385
CHLD 6 31.546875 1570338820.1385
CHLD 7 41.425781 1570338820.1385
CHLD 8 31.613281 1570338820.1385
MEM 31.390625 1570338820.2392
CHLD 0 31.425781 1570338820.2422
CHLD 1 94.566406 1570338820.2422
CHLD 2 100.164062 1570338820.2422
CHLD 3 184.031250 1570338820.2422
CHLD 4 45.816406 1570338820.2422
CHLD 5 31.550781 1570338820.2422
CHLD 6 31.546875 1570338820.2422
CHLD 7 41.425781 1570338820.2422
CHLD 8 31.613281 1570338820.2422
MEM 31.390625 1570338820.3431
CHLD 0 31.425781 1570338820.3461
CHLD 1 112.691406 1570338820.3461
CHLD 2 100.164062 1570338820.3461
CHLD 3 184.031250 1570338820.3461
CHLD 4 46.765625 1570338820.3461
CHLD 5 31.550781 1570338820.3461
CHLD 6 31.546875 1570338820.3461
CHLD 7 41.425781 1570338820.3461
CHLD 8 31.613281 1570338820.3461
MEM 31.390625 1570338820.4464
CHLD 0 31.425781 1570338820.4493
CHLD 1 110.753906 1570338820.4493
CHLD 2 100.164062 1570338820.4493
CHLD 3 184.031250 1570338820.4493
CHLD 4 47.917969 1570338820.4493
CHLD 5 31.550781 1570338820.4493
CHLD 6 31.546875 1570338820.4493
CHLD 7 41.425781 1570338820.4493
CHLD 8 31.613281 1570338820.4493
MEM 31.390625 1570338820.5500
CHLD 0 31.425781 1570338820.5530
CHLD 1 111.753906 1570338820.5530
CHLD 2 166.230469 1570338820.5530
CHLD 3 184.031250 1570338820.5530
CHLD 4 48.855469 1570338820.5530
CHLD 5 31.550781 1570338820.5530
CHLD 6 31.546875 1570338820.5530
CHLD 7 44.738281 1570338820.5530
CHLD 8 31.613281 1570338820.5530
MEM 31.390625 1570338820.6538
CHLD 0 31.425781 1570338820.6568
CHLD 1 112.753906 1570338820.6568
CHLD 2 120.757812 1570338820.6568
CHLD 3 184.031250 1570338820.6568
CHLD 4 50.058594 1570338820.6568
CHLD 5 31.550781 1570338820.6568
CHLD 6 31.546875 1570338820.6568
CHLD 7 64.707031 1570338820.6568
CHLD 8 31.613281 1570338820.6568
MEM 31.390625 1570338820.7571
CHLD 0 31.425781 1570338820.7601
CHLD 1 113.753906 1570338820.7601
CHLD 2 141.523438 1570338820.7601
CHLD 3 184.031250 1570338820.7601
CHLD 4 50.960938 1570338820.7601
CHLD 5 31.550781 1570338820.7601
CHLD 6 31.546875 1570338820.7601
CHLD 7 87.500000 1570338820.7601
CHLD 8 31.613281 1570338820.7601
MEM 31.390625 1570338820.8608
CHLD 0 31.425781 1570338820.8638
CHLD 1 114.753906 1570338820.8638
CHLD 2 157.675781 1570338820.8638
CHLD 3 184.031250 1570338820.8638
CHLD 4 51.894531 1570338820.8638
CHLD 5 31.550781 1570338820.8638
CHLD 6 31.546875 1570338820.8638
CHLD 7 111.781250 1570338820.8638
CHLD 8 31.613281 1570338820.8638
MEM 31.390625 1570338820.9640
CHLD 0 31.425781 1570338820.9670
CHLD 1 115.753906 1570338820.9670
CHLD 2 178.597656 1570338820.9670
CHLD 3 184.031250 1570338820.9670
CHLD 4 53.050781 1570338820.9670
CHLD 5 184.238281 1570338820.9670
